Date,Open,High,Low,Close,Adj Close,Volume
2020-09-10,25.440001,26.250000,25.430000,25.900000,25.900000,32583400
2020-09-11,26.270000,26.590000,25.090000,25.660000,25.660000,20594400
2020-09-14,26.000000,26.219999,25.230000,25.690001,25.690001,15484000
2020-09-15,26.080000,26.350000,25.344999,25.639999,25.639999,23539100
2020-09-16,25.530001,25.780001,25.139999,25.299999,25.299999,18454700
2020-09-17,24.840000,25.368999,24.690001,25.299999,25.299999,12511400
2020-09-18,25.370001,25.735001,24.760000,25.510000,25.510000,30600700
2020-09-21,25.299999,26.709999,25.190001,26.670000,26.670000,14837600
2020-09-22,26.730000,26.870001,25.959999,26.410000,26.410000,14032400
2020-09-23,26.400000,27.299999,26.230000,26.370001,26.370001,11441800
2020-09-24,26.230000,26.968000,25.639999,26.590000,26.590000,9147500
2020-09-25,26.719999,27.299999,26.600000,27.250000,27.250000,7598500
2020-09-28,27.299999,27.920000,26.900000,27.070000,27.070000,9920400
2020-09-29,27.200001,27.485001,26.860001,26.969999,26.969999,6692900
2020-09-30,26.790001,27.245001,26.670000,26.860001,26.860001,9631600
2020-10-01,27.190001,27.969999,26.870001,27.920000,27.920000,10879400
2020-10-02,27.280001,28.120001,27.230000,27.790001,27.790001,9304800
2020-10-05,28.000000,28.680000,27.670000,28.280001,28.280001,11828000
2020-10-06,28.100000,29.100000,28.040001,28.450001,28.450001,8942000
2020-10-07,28.760000,30.530001,28.719999,29.440001,29.440001,14660000
2020-10-08,29.620001,30.059999,29.535000,29.990000,29.990000,6990500
2020-10-09,30.200001,31.660000,30.030001,31.000000,31.000000,14955000
2020-10-12,31.790001,32.099998,31.129999,31.790001,31.790001,12315900
2020-10-13,32.049999,32.509998,31.870001,32.419998,32.419998,10917000
2020-10-14,32.840000,33.270000,31.934999,32.730000,32.730000,14620300
2020-10-15,32.130001,32.983002,31.459999,32.570000,32.570000,12824900
2020-10-16,32.869999,33.090000,32.115002,32.250000,32.250000,8541300
2020-10-19,32.500000,32.900002,32.009998,32.250000,32.250000,9679300
2020-10-20,32.340000,32.474998,30.719999,30.809999,30.809999,9689200
2020-10-21,29.240000,29.379999,28.340000,28.870001,28.870001,19603200
2020-10-22,28.719999,29.190001,28.180000,28.620001,28.620001,8252300
2020-10-23,28.600000,29.020000,28.090000,28.760000,28.760000,7972000
2020-10-26,28.650000,29.150000,27.170000,27.750000,27.750000,9524600
2020-10-27,28.070000,28.459999,27.799999,27.930000,27.930000,7595600
2020-10-28,27.500000,27.620001,26.469999,26.580000,26.580000,11314000
2020-10-29,26.780001,26.830000,26.170000,26.740000,26.740000,7607800
2020-10-30,26.490000,26.629999,25.480000,25.580000,25.580000,11581400
2020-11-02,25.889999,25.889999,24.570000,25.049999,25.049999,10692500
2020-11-03,25.250000,25.660000,24.850000,25.379999,25.379999,7136200
2020-11-04,26.120001,26.490000,25.600000,26.129999,26.129999,8035500
2020-11-05,26.870001,27.459999,26.282000,27.450001,27.450001,8392900
2020-11-06,27.360001,27.549999,26.731001,27.049999,27.049999,5993000
2020-11-09,25.600000,27.040001,25.209999,25.790001,25.790001,12447000
2020-11-10,25.590000,25.930000,24.090000,24.100000,24.100000,20180000
2020-11-11,24.600000,25.430000,24.450001,25.170000,25.170000,13145300
2020-11-12,25.549999,26.160000,25.400000,25.889999,25.889999,8471400
2020-11-13,26.280001,26.375000,25.440001,25.750000,25.750000,6918100
2020-11-16,25.510000,26.264999,25.200001,26.070000,26.070000,7785700
2020-11-17,26.219999,26.750000,25.889999,26.740000,26.740000,7975200
2020-11-18,26.870001,27.139999,26.129999,26.559999,26.559999,7736600
2020-11-19,26.600000,27.760000,26.559999,27.730000,27.730000,9113500
2020-11-20,28.100000,30.000000,28.059999,29.240000,29.240000,20652700
2020-11-23,29.500000,30.580000,29.340000,29.930000,29.930000,10274300
